,#1 String,#2 String,label
11084,"Scrimshaw, Supervisor, Best Minister and Ten Most Wanted are expected to complete the Belmont field.","He had been in protective custody since being transferred to Souza-Baranowski in April, officials said.",0
4833,"""I feel that people that are sending these messages are infringing on my rights and everyone else's rights to use their computers,"" said McKechnie.",Puretunes representatives could not be located Thursday to comment on the suit.,0
6403,The judge also refused to postpone the trial date of Sept. 29.,Obus also denied a defense motion to postpone the Sept. 29 trial date.,1
6830,"Friends of Animals, which touts 200,000 members, was behind a successful tourism boycott that resulted in then-Gov. Walter J. Hickel imposing a moratorium on wolf control in 1992.",Barclays chief executive Matt Barrett also said he had advised his children never to use credit cards.,0
5836,Prisoners were tortured and executed -- their ears and scalps severed for souvenirs.,"The United States wants the measure passed by June 3, when the oil-for-food program needs to be renewed.",0
6535,"""Contrary to the court's decision, we firmly believe Congress gave the F.T.C. authority to implement the national do-not-call list,"" the congressmen said in a statement.","Symptoms include a stiff neck, fever, headache and sensitivity to light.",0
9423,Port authorities in Romania said two ships that sank during World War II but resurfaced due to low water levels could block river traffic.,Shares of Gillette closed down 45 cents at $33.70 in trading Wednesday on the New York Stock Exchange.,0
11395,"A White House spokesman added that Iran had ""one last chance"" to comply with its disarmament obligations.","Before the war began in March, Iraq pumped about 2.1 million barrels a day.",0
5130,The results appear in Thursday’s issue of the journal Nature.,"For more than a century, an undetermined amount of money was lost, stolen, or never collected.",0
11533,Tom Hamilton said his daughter was conscious and alert and in stable condition after the attack Friday morning.,"Bethany, who remained in stable condition after the attack Friday morning, talked of the attack Saturday.",1
9170,Cabrera was called up to help in left field because Todd Hollandsworth has not been productive.,"If this escalation continues as Rowling concludes the saga, there may be an epidemic of Hogwarts headaches in the years to come, he wrote.",0
5174,"It was not immediately known how many people were on flight UTA 141, which could carry 141 passengers and crew.","It was still not known exactly how many people were on the plane, which could carry 141 passengers and crew.",1
6109,"""It was a final test before delivering the missile to the armed forces.",State radio said it was the last test before the missile was delivered to the armed forces.,1
2818,"The first health-care worker in the country to die of SARS was a Filipina-Canadian who contracted the disease at North York General Hospital, the site of the second outbreak.","Emile Laroza, 51, contracted SARS while working as a nurse at North York General Hospital, the epicentre of the second SARS outbreak.",1
4081,There is no clear successor for Mr. O'Neill at Hyundai.,"The victims included seven Lebanese, four Egyptians, one Saudi and one Sudanese, the ministry official said.",0
5277,It is widely expected to give Bair formal approval to offer the plane for sale to airlines.,"Carnival Corp. stock was trading at $31.29 during midday trading Wednesday, down 72 cents or 2.25 percent.",0
1226,After the war she spent three years in custody but tribunals cleared her of any wrongdoing.,"After the war, she spent three years under Allied arrest.",1
9080,"Handset market share for the second quarter, it said, is higher than the first quarter.",The euro has slipped nearly four percent since matching a record peak of around $1.1935 only last week and hitting an all-time high of 140.90 yen in late May.,0
6805,Investigators used a jackhammer and hand tools to conduct the search but halted work for several hours while waiting for the anthropologist to arrive from Indianapolis.,Investigators used a jackhammer and hand tools to conduct the search but halted it until an anthropologist arrived in the northwestern Indiana city from Indianapolis.,1
10957,"""I am advised that certain allegations of criminal conduct have been interposed against my counsel, J. Michael Boxley,'' the Silver statement said. """,The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.,0
9201,Downer originally said the 14 Kurds had not asked to be considered as refugees when they arrived in a boat off Melville Island last week.,Foreign Minister Alexander Downer yesterday claimed the group of 14 Kurds had not asked to be considered as refugees when they arrived off Melville Island last week.,1
7484,"Another million barrels, bought by Spanish refiner Cepsa SA, was to be loaded onto a Spanish tanker, the Sandra Tapias.","His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.",0
5885,"""For the same reason Dell and Gateway can get TVs, there's no reason Wal-Mart can't get computers,"" Baker said.",And although he has acted in period dramas before in screen versions of Jane Austens Persuasion and Charlotte Brontes Jane Eyre Henchard is a breed apart.,0
7258,They said the company knowingly underestimated to the FDA the number of safety complaints involving the device.,The benchmark 10-year Bund yield was down 5.2 basis points at 3.60 percent.,0
1310,Claire had advanced to the third round of the 76th annual Scripps Howard National Spelling Bee.,"One by one they strolled to the microphone, all 251 youngsters in the 76th Scripps Howard National Spelling Bee.",1
5190,"They said they also seized several items which might be linked to ritual killing, including an animal's skull with a nail driven through it.","Among the evidence seized by detectives was an animal skull with a nail driven through its head, which may have been used in a ""black magic"" ceremony.",1
3353,"Peter Smith, a planetary scientist at the University of Arizona, leads the $325 million Phoenix mission.","He said that by allowing power companies more flexibility, the Clear Skies Initiative would result in greater efficiency and therefore less pollution.",0
5785,"The broader Standard & Poor's 500 Index <.SPX> added 12.64 points, or 1.28 percent, to 997.48.",The Standard & Poor's Oil and Gas Exploration Index <.GSPOILP> was up 3.6 percent.,1
10366,"The Modesto Bee and NBC were notified their calls had been intercepted, Goold said.",Journalists were not the only people notified that their phone calls had been intercepted.,1
4102,"Officials in Malawi said the five suspects had been on the CIA's ""watch list"" since the twin 1998 truck bombings of U.S. embassies in Kenya and Tanzania.",Officials in Malawi said the men were on the CIA's ''watch list'' since the twin 1998 bombings at the US embassies in Kenya and Tanzania.,1
3532,"Asked about the controversy, Bloomberg said, ""I didn't see either one today, but if they're here and wave from the side I'll certainly wave to them.","""I didn't see either one today, but if they're here and wave from the side, I'll certainly wave to them,"" Bloomberg said.",1
10151,Perry has since called two special legislative sessions to try force the redistricting plan through.,"Since then, Texas Gov. Rick Perry has called two special sessions trying to push the measure through.",1
10211,The 4th U.S. Circuit Court of Appeals has unsealed a heavily edited transcript of the June 3 court session where classified evidence was discussed out of public earshot.,"The 4th U.S. Circuit Court of Appeals in Richmond, Va., released the edited transcript of a closed hearing June 3, which followed a public proceeding.",1
6485,"Some 660 prisoners from 42 countries, including Canada, are held, many captured during the war against in Afghanistan the al-Qaida network.","Some 660 prisoners from 42 countries are being held at the Naval base at Guantanamo Bay, many captured during the war against Al Qaeda in Afghanistan.",1
1315,"""For the same reason Dell and Gateway can get TVs, there's no reason Wal-Mart can't get computers,"" Baker said.",Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,0
6343,"The association said 28.2 million DVDs were rented in the week that ended June 15, compared with 27.3 million VHS cassettes.","The Video Software Dealers Association said 28.2 million DVDs were rented out last week, compared to 27.3 million VHS cassettes.",1
8796,"""This proposed investment starts the process of raising the funding we need to increase our capacity,"" Elpida President Yukio Sakamoto said in a news release.","Mr. Parsons has been director of the Stennis Center, which specializes in rocket engine research and testing, since August.",0
2315,"Thursday, U.S. District Judge Florence-Marie Cooper will consider the second motion.","The MDC said a supporter, Tichaona Kaguru, died in hospital on Wednesday after being tortured and assaulted by soldiers putting down the protests.",0
7550,"He urged Congress to ""send me the final bill as soon as possible so that I can sign it into law.""","""I urge Congress to quickly resolve any differences and send me the final bill as soon as possible so that I can sign it into law,"" he said.",1
9247,"Still, he noted that Miami must decide whether to seek A.C.C. membership by June 30 to adhere to Big East guidelines.","Mrs Boncyk's husband, Wayne, had taken the family car to work, so his wife and children had to ride with neighbours.",0
1339,A tradition of Labor Day racing was established long ago in the Inland Empire.,There is a tradition of Labor Day racing in the Inland Valley.,1
11524,Microsoft fell 5 percent before the open to $27.45 from Thursday's close of $28.91.,Shares in Microsoft slipped 4.7 percent in after-hours trade to $27.54 from a Nasdaq close of $28.91.,1
738,Bolland told the News of the World: “I was astonished at Sir Michael’s question.,"Another soldier died and three were wounded when their vehicle hit a land mine or a piece of unexploded ordnance in Baghdad, a military statement said Tuesday.",0
965,"""There is always a danger of casualties in something like this.",Howard said there was always a risk of casualties.,1
252,Viacom's lawyers say Spike is a common name that does not necessarily prompt thoughts of Lee.,Viacom's lawyers say Spike is a common name that doesn't necessarily prompt thoughts of the 46-year-old film director.,1
10845,"The news will be announced Monday morning in Dallas at Tech Ed 2003 during a keynote by Paul Flessner, senior vice president of Microsoft's Server Platform Division.","The plan is expected be disclosed Monday morning at Tech Ed 2003 during a keynote by Paul Flessner, senior vice president of Microsoft's Server Platform Division.",1
2098,"The Foreign Office said there was a ""clear"" risk of terrorist attack in Djibouti, Eritrea, Ethiopia, Somalia, Tanzania and Uganda.","The warnings were issued on Djibouti, Eritrea, Ethiopia, Somalia, Tanzania and Uganda.",1
872,"Watson, of Whitakers, N.C., was found guilty of making a false threat to detonate explosives, and destruction of federal property.",Duisenberg said in an interview with Bloomberg News' German television channel released earlier on Wednesday it was too early to discuss further interest rate cuts for the euro zone.,0
3068,"Investors were askingwhether other banks, some of which are still being audited, could be dealt with in the same way.","Other Japanese banks, some of which are still being audited, could face similar scrutiny.",1
6237,"The CWA, which represents more than 2,300 Comcast employees, called that excessive when a typical union employee makes about $27,000 a year.","The Communications Workers Union, which represents more than 2,300 Comcast employees, called the executive pay package excessive when a typical union employee makes about $27,000 annually.",1
3891,"Jim Williams, director of the US-VISIT project, said that by the middle of November, many arriving passengers in Atlanta will be fingerprinted and photographed.","Jim Williams, director of the US-VISIT project, said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta.",1
4607,X2 took in $17.1 million for a total three-week take of $174 million.,"Analysts had forecast second quarter sales of $614 million, according to the Thomson First Call Web site.",0
10933,The series will be known as the NASCAR Nextel Cup.,Before that the division was known as the NASCAR Grand National Series.,1
4093,"The new Army Commander is the Masaka Armoured Brigade commanding officer, Brigadier Aronda Nyakairima who is now promoted to major general.",Blair's office said his Foreign Secretary Jack Straw would take his place on Monday to give a statement to parliament on the EU meeting the prime minister attended last week.,0
9877,The U.N. Office of the Humanitarian Coordinator for Iraq last week reported that cases of diarrhea have tripled in Baghdad.,Children get sick from drinking the water: The United Nations Office of the Humanitarian Coordinator for Iraq last week reported that cases of diarrhea have tripled in Baghdad.,1
8176,"The GameCube, a major disappointment in the last fiscal year, trails both Sony's PlayStation 2 and Microsoft' Xbox.","Before Thursday's matinee, Baker called a clubhouse meeting, concerned that the controversy had distracted the Cubs.",0
7628,The biggest cut ordered was for Hanover Lloyds Insurance Co. -- 31 percent.,The department ordered Hanover Insurance to cut its rates by 31 percent.,1
8515,"People with two copies of the mutated gene have double this risk, the researchers said.","The risk is doubled for people with two copies of the mutated gene, the researchers said.",1
9225,"The broader Standard & Poor's 500 Index .SPX fell 3 points, or 0.30 percent, to 995.","The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.",1
10096,You can reach her at (248) 647-7221 or send e-mail to lberman@detnews.com.,"For the full 12-month period, high-speed cable modem connections increased by 49 percent.",0
10508,"The µGuru microcontroller serves four functions: hardware monitoring, overclocking management, BIOS update and a troubleshooting-assistance feature called Black Box.","The broader Standard & Poor's 500 Index <.SPX> gained 5.51 points, or 0.56 percent, to 981.73.",0
7054,"Several thousand 3rd Infantry troops, including the 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week.","A few thousand troops, most from the division's 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week, with flights continuing through Friday.",1
9232,"Microsoft officials presented ""several options"" it is considering, the W3C posting said.",Retired General Wesley Clark's entry into the race for the Democratic presidential nomination will almost certainly strengthen anti-war forces determined to unseat US President George W Bush next year.,0
5123,The findings are being published today in the Annals of Internal Medicine.,The findings are published in the July 1st issue of the Annals of Internal Medicine.,1
3800,"The Republic of Korea was found to lead the way in broadband penetration, with approximately 21 broadband subscribers for every 100 inhabitants.","Not surprisingly, broadband nation Korea leads the way in broadband penetration, with approximately 21 broadband subscribers for every 100 inhabitants.",1
7839,"Yee is a 1990 graduate of the U.S. Military Academy at West Point, New York.",Beagle 2 is attached to Mars Express by what is known as a Spin-Up and Ejection Mechanism (Suem).,0
11178,But Mr Kenny said his advice to Mr Hicks - if they are ever allowed to meet or speak - may well be that he accept a deal.,"Also arrested Friday was Claudia Carrizales de Villa, 34, a citizen of Mexico residing in the border city of Harlingen, Texas.",0
7503,Telemarketers argue that there is no logical link between the registry's limited scope and advancing that interest.,Lawyers for the telemarketers said there was no logical connection between the registry's limited scope and advancing that interest.,1
11377,"The technology-focused Nasdaq Composite Index <.IXIC> advanced 6 points, or 0.30 percent, to 2,053, erasing earlier losses.","The analyst, already let go by Merrill, can request a hearing before a NASD panel.",0
447,"Powell's rendition of the third conversation made it more incriminating, by saying an officer ordered that the area be ""cleared out.""","Powell's version made it seem more sinister when he said an officer on the tape ordered that the area be ""cleared out.""",1
4257,The three grocery chains were relying on store managers and replacement workers to keep their stores open.,"The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.",1
56,It said FirstEnergy determined that a contractor had established an unprotected computer connection to its corporate network that allowed the so-called ``Slammer'' worm to spread internally.,"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen.",0
2777,"U.S. Airways ordered 85 Bombardier jets with 50 seats and 75 seats and 85 Embraer jets with 70 seats, it said in a release.","Bombardier and Embraer will each deliver 85 jets by September 2006, U.S. Airways said in a release.",1
3404,"Its former chief Mickey Robinson was fired for cause when he left in September, the company said.","Chief Executive Mickey Robinson was fired for cause in September, the company said last month.",1
476,"After he was led into the execution chamber and strapped to a gurney, Swisher raised his head and appeared to smile as his spiritual adviser spoke to him.","After he was led into the execution chamber and strapped to a gurney, Swisher raised his head and appeared to smile as the prison chaplain spoke in his ear.",1
4880,"Dotson admitted to FBI agents that he shot Dennehy in the head ""because Patrick had tried to shoot him,"" according to an arrest warrant released Tuesday.","According to an arrest warrant released Tuesday, Dotson admitted to FBI agents that he shot Dennehy in the head ""because Patrick had tried to shoot him.""",1
6214,The ELF has claimed responsibility for a slew of arson attacks against commercial entities that members say threaten or damage the environment.,The underground group has claimed responsibility for a series of arsons against commercial entities that members say damage the environment.,1
3894,Congress twice before passed similar restrictions only to see President Bill Clinton veto them.,"In 2002, for example, the Dow dropped more than 1,500 points, or 15.6 percent, between May and October, due largely to terrorism fears driven by headlines.",0
11328,The OneNote note-taking tool is listed at £169.99 while the InfoPath XML (Extensible Markup Language) data gathering application is priced at £179.99.,"Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.",0
10061,Guidant said it will continue to ship the product and provide support to doctors and patients through October 2003.,Prosecutors called Durst a cold-blooded killer who shot Black to steal his identity.,0
3379,"However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.","Meanwhile, the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November.",0
7257,"Opposition to the bill has come from environmentalists, the Miccosukee Tribe, some scientists and members of Congress.","Besides a federal judge, the criticism has mounted from environmentalists, the Miccosukee Tribe, some scientists and some congressional leaders.",1
9589,She said Jane Doe's lawyers asked Verizon to withhold her name because she was planning on challenging the subpoena.,"Christina's aunt, Shelley Riling , said the defense's claims were preposterous.",0
750,"The contractors convicted last month, Brian Rose, 36, and Joseph Quattrone, 35, are to be sentenced in January.","Contractors Brian Rose, 36, and Joseph Quattrone, 35, who were convicted of submitting hundreds of phony invoices to Blue Cross, are to be sentenced in January.",1
7692,Rescue workers had to scrounge for boats to retrieve residents stranded by high water.,"""I've stopped looters, run political parties out of abandoned buildings, caught people with large amounts of cash and weapons,"" said U.S. Army 2nd Lt. Cody Williams.",0
4467,"""The day may come,"" Judge Wolf continued, ""when a court properly can and should declare the ultimate sanction to be unconstitutional in all cases.","She, in turn, occasionally told John that she was still sleeping with an ex-boyfriend, ""Baywatch"" hunk Michael Bergin.",0
376,"""This puts telemarketers on notice that we will take all measures necessary to protect consumers who chose to be left alone in their homes.""","In a separate complaint, the FTC alleged that AOL and CompuServe failed to deliver timely $400 rebates to consumers.",0
2458,Other recall suits are pending in federal court.,There are three suits challenging the recall still pending in federal court.,1
8268,"Barbini said the union may reach a compromise with the United States but it wants a system for labeling such foods, something the industry successfully fought here.",The study results were released at a meeting in Seattle of the American Thoracic Society and also will be published in tomorrow's issue of The New England Journal of Medicine.,0
5767,Tony winners will be announced June 8 at the Radio City Music Hall in New York.,He also drove in a run on a groundout against Franklin in the fifth.,0
9407,"Sales rose 37 per cent year-on-year to 1.76bn, beating expectations.","TSMC feels that Syndia's actions are designed to interfere with TSMC's customer relationships, the company said.",0
8021,"It was centered about 100 miles southwest of Cedar Key and drifting erratically southward, forecasters said.","""It just seems like all the issues that we support he doesn't,"" said Gabriela Lemus, the league's director of policy and legislation.",0
9880,"There is only one drug on the market for macular degeneration, and it is approved to treat only one subtype that represents a minority of cases.","Today, we preserve essential tools to foster voice competition in the local market.",0
7505,"Police believe Wilson shot Reynolds, then her mother once in the head before fatally turning the gun on herself.",Police believe Wilson then shot Jennie Mae Robinson once in the head before turning the gun on herself.,1
11588,"""It should have reported that it was sailing with an atomic bomb cargo,"" Anomeritis said, referring to the quantity of explosives on board.","""It should have declared that it was sailing with a cargo that was like an atomic bomb,"" said Anomeritis.",1
11494,"Without the shuttle fleet, NASA is relying on the Russian space program to rotate crew members on the International Space Station and send new supplies to the orbiting laboratory.","In a generous gesture of uncharacteristic compassion, Samudra claims: ""At that time I didn't agree because the people who will be the victims are schoolchildren"".",0
6018,"The discoveries came a day after a package bomb burst into flames in the Bologna, Italy home of EU Commission President Romano Prodi, who was not injured.","The $19.50-a-share bid, comes two days after PeopleSoft revised its bid for smaller rival J.D. Edwards & Co. JDEC.O to include cash as well as stock.",0
9740,"The Organization of Petroleum Exporting Countries decided yesterday to lower its output ceiling by 900,000 barrels a day to 24.5 million barrels starting in November.","UK retail like-for-like sales for the 17 weeks to December 27 were flat, with gross margin down two percentage points.",0
2400,"Since it was launched Monday, the SiteFinder service has drawn widespread criticism from Internet users who complain that VeriSign has overstepped its authority.",The unusual decision to declassify a major intelligence report was a bid by the White House to quiet a growing controversy over Bush's allegations about Iraq's weapons programs.,0
4449,Its first decisions were to scrap all holidays honoring Saddam and his outlawed Baath Party and to create a new public holiday marking the day of his downfall.,Frist proposed a process in which it would take gradually fewer votes to overcome filibusters preventing final votes on judicial confirmations.,0
3469,"On Wednesday, the total of National Guard and Reserve members called to active duty worldwide stood at 154,603.","Junya Tanase, forex strategist at JP Morgan Chase, said ""I expect Japan to keep conducting intervention, but the volume is likely to fall sharply.""",0
3184,"The Pentagon, saying that Boykin requested it, is investigating his remarks.",The Pentagon has begun an official investigation into Boykin's remarks.,1
8037,"That leaves about three dozen at risk of aid cutoffs, said State Department spokesman Richard Boucher, who did not identify them.",Intel plans to present a paper on its findings today at a conference in Japan.,0
4881,"United said the new airline will expand next year to 40 Airbus A320 jets, each seating 156 passengers.","United said it the new airline use 40 jets, each seating 156 passengers.",1
11061,"In the entire fiscal year, the company lost a record $1.27 billion, or $2.11 a share, on sales of nearly $3.1 billion.","For the entire fiscal year, Micron lost a record $1.27 billion on sales of just under $3.1 billion.",1
7210,His attorney said he is disputing the accusations through the securities dealers association's hearing process.,"His attorney, Christopher Wilson, said Young is disputing the accusations through the NASD's hearing process.",1
11557,"Prosecutors said there is no question Waagner was behind the letters, which were sent at the same time of the anthrax attacks.","Within four days, the House and Senate overwhelmingly endorsed a resolution granting the president authority to go to war.",0
6375,"Some E.P.A. staff members defended the document, saying that although pared down it would still help policy makers and the agency address the climate issue.","OKeefe called Bridges, a retired Air Force Major General, to ask him to switch centers on Wednesday.",0
4900,"During her two days of meetings, Rocca will not meet the rebels since they are banned by the United States as a ""terrorist organisation"".","Police believe Wilson shot Reynolds, then her mother once in the head before fatally turning the gun on herself.",0
4156,But they don’t realize that until it’s too late (of course) because they’re potential victims in a horror movie.,"In that order, Nottingham ruled the do-not-call list unconstitutional on free-speech grounds because it applied to calls from businesses but not charities.",0
227,"On Friday, the Food and Drug Administration approved the use of silicone breast implants with conditions.",The drug was approved for use Friday by the Food and Drug Administration.,1
5149,"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22.",The agency said it would consider as timely any tax returns or payments due from Friday through Aug. 22 if they are completed by Aug. 22.,1
2317,"After Freitas' opening statement, King County Superior Court Judge Charles Mertel recessed trial until after the Thanksgiving weekend.","The Dow Jones industrial average .DJI added 47.9 points, or 0.52 percent, to 9,174.35.",0
10828,"""This is my sweatshirt which my brother Jaafar used to borrow from me all the time,"" said Mekki.","However, the standards body warns that changes to Internet Explorer may affect a ""large number"" of existing Web sites.",0
3467,Shares of Bristol-Myers rose to $28 in electronic trading from the $26.90 close on the New York Stock Exchange.,"Bristol shares rose $1.30, or 5 percent, to $28.20, after closing at $26.90 on the New York Stock Exchange.",1
9847,"President Bush called the blackout ""a wake-up call"" for Americans about the nation's outdated power grid.",Mr. Manuel and his group entered the United States by walking across the bridge linking Matamoros and Brownsville.,0
2648,"The dead man, Leon Williams, was found in his third-floor apartment.","""We started our investigation of the child porn ring last year in August and soon realized that it was a big thing,"" Mr. Beer said.",0
1508,"Mr Djerejian said that in the past month Syria had taken some steps in response to the pressure, such as moving the militant group offices out of Damascus.","""You know I have always tried to be honest with you and open about my life,"" Limbaugh said Friday on his program.",0
5561,Nelson stared down referee Joey Crawford during a timeout with 2:46 left in the first quarter and San Antonio leading 26-16.,"They are located in Grande Cache, Alta., Carrot River, Sask., Chapleau, Ont., and Aberdeen, Wash.",0
10840,"According to the survey, last years identity theft losses to businesses and financial institutions totaled nearly $48 billion and consumer victims reported $5 billion in out-of-pocket expenses.","""No one has anything to fear from being correctly identified but everything to fear from their identity being stolen or misused,"" Mr Blunkett said.",0
1684,The Kenilworth-based company said it believes the letter shows that the government plans to pursue a criminal indictment and likely has substantial evidence supporting an indictment.,Her body was found several weeks later in the Green River.,0
499,"""I think the financial diplomacy here of the sort that we are engaged in is the surest course to get the result we want.""","""The financial diplomacy we're engaged in is the surest course to get what we want,"" Mr. Snow said.",1
6322,Emmy and Golden Globe Award-winners James Brolin and Judy Davis star as Ronald and Nancy Reagan in The Reagans.,James Brolin and Judy Davis play Ronald and Nancy Reagan in the CBS film.,1
6013,"The word Advent, from Latin, means ""the coming.""","The 51-year-old nurse worked at North York General Hospital, the epicentre of the latest outbreak.",0
1877,"For the year, Marvell expects revenue of $760 million to $790 million.",Negotiators said Friday they made progress during their latest round of free-trade negotiations between the United States and five Central American countries this week in Houston.,0
4808,"The 36 employees at Think Dynamics will remain in Toronto and become IBM employees, Crowe said.","Attorney Gloria Allred, who is representing Frey, also filed documents opposing a gag order in the case.",0
513,"It was the best advance since Oct. 1, when the index gained 22.25.","Standard & Poor's 500 index rose 15.66 to 1,046.79, its best advance since Oct. 1, when it gained 22.25.",1
4845,"Police Chief Superintendent Jesus Verzosa, who heads the national police intelligence group that had custody of Ghozi, has offered to resign, according to Ebdane.","Wim Wenders directed a widely praised film of the same name, based on the sessions.",0
10146,The new campaign comes just weeks after U.S. appeals court rulings requiring Internet service providers to identify subscribers suspected of illegally sharing music and movie files.,"We believe them to be without merit, and will defend ourselves vigorously.",0
10795,Shares of Schering-Plough closed down 4 cents at $16.76 in Thursday trade on the New York Stock Exchange.,"The 90-minute exchange took place at a debate, focusing on the issues of interest to young people, broadcast live from Faneuil Hall in Boston.",0
5053,Both strain 121 and Pyrolobus belong to a branch on the tree of life known as the archaea.,"Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""",0
5176,"But he added, ""Once the problem grew to a certain magnitude, nothing could have been done to prevent it from cascading out of control.""","""However, the report also tells us that once the problem grew to a certain magnitude, nothing could have been done to prevent it from cascading out of control.""",1
9587,The U.S. Centers for Disease Control and Prevention has been gathering information on suspect cases.,Prosecutors say Mzoudi was involved in the preparations for the attack until the final moment and that he was aware of and supported the attackers' violent goals.,0
474,"She, in turn, occasionally told John that she was still sleeping with an ex-boyfriend, ""Baywatch"" hunk Michael Bergin.","Those conversations had not taken place as of Tuesday night, according to an Oracle spokeswoman.",0
9281,"""The woman was taken to New Charing Cross Hospital by ambulance and her condition is critical.","She was taken to Charing Cross Hospital, where she remained critically ill last night.",1
7508,"From California, Bush flies to Japan on Thursday, followed by visits to the Philippines, Thailand, Singapore, Indonesia and Australia before returning home on Oct. 24.","Besides Japan he will visit the Philippines, Thailand, Singapore, Indonesia and Australia before returning home on Oct. 24.",1
2876,"Committee approval, expected today, would set the stage for debate on the Senate floor beginning Monday.",That would clear the way for debate in the full Senate beginning on Monday.,1
9806,"Under current law, dividends are taxed at standard income tax rates up to 38.6 percent.",Security assessments of these facilities should take place every three years.,0
2899,"Voyager 1 was launched on September 5, 1977, 16 days after its companion, Voyager 2.","Gerry Kiely, a EU agriculture representative in Washington, said EU ministers were invited but canceled because the union is closing talks on agricultural reform.",0
4065,A sensitive light detector then looks for the telltale blue glow.,"O'Brien was charged with leaving the scene of a fatal accident, a felony.",0
480,"At Tuesday's arraignment hearing, Marsh pleaded not guilty to 122 counts of burial service fraud and 47 counts of making false statements.",At the hearing he pleaded not guilty to the burial service fraud and false statements charges.,1
4985,"""This proposed investment starts the process of raising the funding we need to increase our capacity,"" Elpida President Yukio Sakamoto said in a news release.","""The proposed investment starts the process of raising the funding we need to increase our capacity to better support our customer requirements,"" said Yukio Sakamoto, Elpida's president.",1
4480,Blair's government included the charge that Saddam sought uranium from Niger in a September 2002 dossier setting out the case for military action.,The discovery was published yesterday in the New England Journal of Medicine.,0
2577,"Mr Koizumi rebuked Mr Konoike, saying his remarks were ""inappropriate"".","Koizumi told reporters at his office that Konoike's remarks were ""inappropriate.""",1
10512,"The U.N. troops are in Congo to protect U.N. installations and personnel, and they can only fire in self defense and have been unable to stem the violence.",We firmly believe that we have an absolute right to use the common word 'spike' to name our network.,0
7425,"The affidavit said British customs officials stopped al-Amoudi at Heathrow Airport last month when he was attempting to travel to Damascus, Syria.","The affidavit says al-Amoudi was detained Aug. 16 attempting to travel from London to Damascus, Syria.",1
10189,"The meat, poultry, butter, cheese and nuts were impounded a year ago at a LaGrou Cold Storage warehouse in Chicago.","The meat, poultry, butter, cheese and nuts were being stored by more than 100 wholesalers in Chicago.",1
3405,"The three chains have replaced most of the 70,000 striking workers with temporary employees to keep their stores open.","The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.",1
10119,"That means that if the planet is in a season, it will continue to brighten for the next 20 years.",Claire had advanced to the third round of the 76th annual Scripps Howard National Spelling Bee.,0
5459,"The council comprises 13 Shi'ites, five Sunni Arabs, five Kurds, an Assyrian Christian and a Turkmen.","Around 9:00 a.m. EDT (1300 GMT), the euro was at $1.1566 against the dollar, up 0.07 percent on the day.",0
7118,"After their arrests, the men told investigators they paid to be smuggled into Blaine, Wash., from Canada last month, two sources said.","After their arrests, the men told investigators they paid to be smuggled into the United States from Canada last month.",1
9298,"Wal-Mart, the nation's largest private employer, has expanded its antidiscrimination policy to protect gay and lesbian employees, company officials said Tuesday.","BellSouth added 111,000 DSL customers during the quarter to reach a total of 1.3m subscribers.",0
1349,Missouri health officials said he had not been hospitalized and is recovering.,The biggest cut ordered was for Hanover Lloyds Insurance Co. -- 31 percent.,0
2986,"On Thursday, authorities evacuated residents who live in the canyon and closed off the road leading there.",Authorities evacuated residents and closed off the road leading to Waterman Canyon.,1
11338,"Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.",The U.S. Conference Board said its latest measure of business confidence hit 60 after falling to 53 in its first quarter survey.,0
9896,Puretunes representatives could not be located Thursday to comment on the suit.,"Financial terms of the sale, which is expected to be completed by the end of August, were not disclosed.",0
8606,Vivendi shares closed 3.8 percent up in Paris at 15.78 euros.,Vivendi shares were 0.3 percent up at 15.62 euros in Paris at 0841 GMT.,1
4770,"""They were chipping away at the concrete to get to the body,"" said Chris Butler, who lives across the street.","Investigators ""were chipping away at the concrete to get to the body,"" said Chris Butler, who lives across the street in the quiet city neighborhood.",1
